Title,Genders,Developers,Publishers,Release Date (NA),Release Date (EU),Release Date (JP),Release Date (AU),Addons,Xbox One
SpongeBob's Surf & Skate Roadtrip,,THQ,THQ,"Nov 8, 2011","Nov 11, 2011",Unreleased,"Nov 10, 2011",K,
SpongeBob's Truth or Square,Action,Heavy Iron Studios,THQ,"Oct 26, 2009","Sep 17, 2010",Unreleased,Unreleased,,
SpongeBob HeroPants,"Action-adventure, Platformer",Behaviour Interactive,Activision,"Feb 3, 2015","Mar 26, 2015",Unreleased,Unreleased,,
SpongeBob SquarePants: Plankton's Robotic Revenge,"Action-adventure, Platformer, Third-person shooter",Behaviour Interactive,Activision,"Oct 22, 2013","Oct 11, 2013",Unreleased,"Oct 23, 2013",,
SpongeBob SquarePants: Underpants Slam,Family & Educational,Blitz Arcade,THQ,"Dec 26, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Spyglass Board Games,Card & Board,Strange Flavour/Freeverse,Microsoft Game Studios,"Aug 1, 2007",Unreleased,Unreleased,Unreleased,XBLA,
SSX,Sports,EA Canada,Electronic Arts,"Feb 28, 2012","Mar 2, 2012","Mar 15, 2012","Nov 22, 2013",,XBO
Stacking,Role Playing,Double Fine Productions,THQ,"Feb 9, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Star Ocean: The Last Hope,Action RPG,tri-Ace,Square Enix,"Feb 23, 2009","Jun 5, 2009","Feb 19, 2009","Nov 22, 2013",,XBO
Star Raiders,Action & Adventure,Incinerator Studios,Atari,"May 11, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Star Trek,Action,Digital Extremes,"Namco Bandai Games, Paramount Digital Entertainment","Apr 23, 2013","Apr 26, 2013",Unreleased,"Nov 22, 2013",,
Star Trek DAC,Shooter,Naked Sky Entertainment,Paramount Digital Entertainment,"May 13, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Star Trek: Legacy,"RTS, Action-adventure",Mad Doc Software,Bethesda Softworks,"Dec 14, 2006","Dec 22, 2006",Unreleased,"Dec 15, 2006",,
Star Wars Pinball: Heroes Within,Pinball,Zen Studios,Zen Studios,"Apr 29, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Star Wars Pinball: The Force Awakens,Pinball,Zen Studios,Zen Studios,"Jan 12, 2016",Unreleased,Unreleased,Unreleased,XBLA,
Star Wars: The Clone Wars – Republic Heroes,Action-adventure,Krome Studios,LucasArts,"Oct 6, 2009","Oct 6, 2009",Unreleased,"Nov 22, 2013",,
Star Wars: The Force Unleashed,Hack & Slash,LucasArts,LucasArts,"Sep 16, 2008","Sep 19, 2008",Unreleased,"Nov 22, 2013",,XBO   XE
Star Wars: The Force Unleashed II,Action,LucasArts,LucasArts,"Oct 26, 2010","Dec 31, 2010",Unreleased,"Nov 22, 2013",,XBO
State of Decay,Action & Adventure,Undead Labs,Microsoft Studios,"Jun 5, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Steel Battalion: Heavy Armor,,From Software,Capcom,"Jun 19, 2012","Jun 22, 2012","Jun 28, 2012","Jun 21, 2012",K,
Steins;Gate,Visual novel,"5pb., Nitroplus",5pb.,Unreleased,Unreleased,"Oct 15, 2009","Nov 22, 2013",,
Steins;Gate: Hiyoku Renri no Darling,Visual novel,"5pb., Nitroplus",5pb.,Unreleased,Unreleased,"Jun 16, 2011","Nov 22, 2013",,
Steins;Gate: Linear Bounded Phenogram,Visual novel,5pb.,5pb.,Unreleased,Unreleased,"Apr 25, 2013",Unreleased,,
Stoked,Sports,Bongfish,Destineer,"Jan 20, 2009","Oct 2, 2009",Unreleased,"Nov 22, 2013",,
Stoked: Big Air Edition,Sports,Bongfish,Destineer,"Nov 23, 2009","Mar 11, 2011","Jan 13, 2011","Jun 2, 2011",,
Storm,Puzzle & Trivia,IndiePub,Bandai Namco Entertainment,"Jun 14, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Stormrise,RTT,The Creative Assembly,Sega,"Mar 24, 2009","Mar 27, 2009",Unreleased,"Nov 22, 2013",,
Stranglehold,"Third-person Shooter, Action",Midway Games,"Midway Games, SuccessJP","Sep 5, 2007","Sep 14, 2007","May 22, 2008","Nov 22, 2013",,
Strania,Shooter,G.rev,G.rev,"Mar 30, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Street Fighter II: Hyper Fighting,Classics,Capcom/Sensory Sweep Studios,Capcom,"Aug 2, 2006",Unreleased,Unreleased,Unreleased,XBLA,
Street Fighter III: 3rd Strike Online Edition,Classics,Capcom/Iron Galaxy,Capcom,"Aug 24, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Street Fighter IV,Fighting,Dimps,Capcom,"Feb 17, 2009","Feb 20, 2009","Feb 12, 2009","Nov 22, 2013",,XBO
Street Fighter X Tekken,Fighting,Capcom,Capcom,"Mar 6, 2012","Mar 9, 2012","Mar 8, 2012","Nov 22, 2013",,
Street Trace NYC,Racing & Flying,Gaia Industries,Microsoft Game Studios,"Aug 22, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Streets of Rage 2,Classics,Sega/Digital Eclipse,Sega,"Aug 29, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Strider,Action & Adventure,Double Helix Games,Capcom,"Feb 19, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Strike Witches: Shirogane no Tsubasa,"Shooter, Visual novel",CyberFront,CyberFront,Unreleased,Unreleased,"Jul 29, 2010","Nov 22, 2013",,
Stuntman: Ignition,"Racing, Action",Paradigm Entertainment,THQ,"Aug 28, 2007","Aug 31, 2007","Dec 13, 2007","Nov 22, 2013",,XBO
Summer Athletics 2009,Sports,49 Games,dtp entertainment,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Summer Athletics: The Ultimate Challenge,Sports,49 Games,dtp entertainment,"Jul 29, 2008","Aug 15, 2008",Unreleased,"Nov 22, 2013",,
Summer Challenge: Athletics Tournament,Sports,Sproing Interactive Media,RTL Entertainment,"Mar 18, 2012","Feb 14, 2012",Unreleased,Unreleased,,
Summer Stars 2012,Sports,49 Games,Deep Silver,Unreleased,"Jun 1, 2012",Unreleased,Unreleased,K,
Super Contra,Classics,Konami/Digital Eclipse,Konami,"Jul 25, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Super Meat Boy,Platformer,Team Meat,Microsoft Game Studios,"Oct 20, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Super Puzzle Fighter II Turbo HD Remix,Puzzle & Trivia,Backbone Entertainment,Capcom,"Aug 29, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Super Robot Wars XO,Tactical RPG,Namco Bandai Games,Namco Bandai Games,Unreleased,Unreleased,"Nov 30, 2006","Nov 22, 2013",,
Superstar Karaoke,Rhythm,Studio9,Studio9,Unreleased,Unreleased,"Mar 7, 2008",Unreleased,,
Super Street Fighter II Turbo HD Remix,Classics,Backbone Entertainment,Capcom,"Nov 26, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Super Street Fighter IV,Fighting,Dimps,Capcom,"Apr 27, 2010","Apr 30, 2010","Apr 28, 2010","Nov 22, 2013",,
Super Street Fighter IV: Arcade Edition,Fighting,"Dimps, Capcom",Capcom,"Jun 7, 2011","Jun 7, 2011","Jun 7, 2011","Jun 7, 2011",,XBO
Superman Returns,Action,EA Tiburon,Electronic Arts,"Nov 20, 2006","Nov 24, 2006",Unreleased,"Nov 30, 2006",,
Super Time Force,Shooter,Capybara Games,Microsoft Studios,"May 14, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Superstars V8 Racing,Racing,Milestone,Black Bean Games,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Superstars V8 Next Challenge,Racing,Milestone,Black Bean Games,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Supremacy MMA,Sports,Kung Fu Factory,505 Games,"Sep 20, 2011","Sep 23, 2011",Unreleased,"Nov 22, 2013",,
Supreme Commander,RTS,Hellbent Games,Aspyr,"Jun 23, 2008","Sep 12, 2008",Unreleased,"Nov 22, 2013",,
Supreme Commander 2,RTS,Gas Powered Games,Square Enix,"Mar 16, 2010","Mar 19, 2010",Unreleased,"Nov 22, 2013",,XBO
Surf's Up,Sports,Ubisoft,Ubisoft,"May 29, 2007","Aug 3, 2007",Unreleased,"Nov 22, 2013",,
Swarm,Platformer,Hothead Games,Ignition Entertainment,"Mar 23, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Switchball,Action & Adventure,Atomic Elbow,Activision,"Nov 7, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Syberia,Action & Adventure,Microïds,Bandai Namco Entertainment,"Dec 3, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO
Syberia II,Action & Adventure,Microïds,Bandai Namco Entertainment,"May 13, 2015",Unreleased,Unreleased,Unreleased,XBLA,
Syndicate,First-person Shooter,Starbreeze Studios,Electronic Arts,"Feb 21, 2012","Feb 24, 2012",Unreleased,"Nov 22, 2013",,XBO
Takedown: Red Sabre,Shooter,Serellan,505 Games,"Feb 21, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Tales from Space: Mutant Blobs Attack,Platformer,DrinkBox Studios,Midnight City,"Jun 18, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO
Tales from the Borderlands,Action & Adventure,Telltale Games,Telltale Games,"Nov 26, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Tales of Vesperia,RPG,Namco Tales Studio,Namco Bandai Games,"Aug 26, 2008","Jun 26, 2009","Aug 7, 2008","Nov 22, 2013",,
Tayutama: Kiss on my Deity,Visual novel,5pb.,5pb.,Unreleased,Unreleased,"Nov 5, 2011",Unreleased,,
Tecmo Bowl Throwback,Sports & Recreation,Southend Interactive,Koei Tecmo,"Apr 29, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Teenage Mutant Ninja Turtles,Beat 'em Up,Magic Pockets,Activision,"Oct 22, 2013","Oct 25, 2013",Unreleased,"Nov 22, 2013",,
Teenage Mutant Ninja Turtles,Classics,Ubisoft/Digital Eclipse,Ubisoft,"Mar 14, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Teenage Mutant Ninja Turtles: Danger of the Ooze,Beat 'em Up,WayForward Technologies,Activision,"Oct 28, 2014","Nov 1, 2014",Unreleased,"Nov 22, 2013",,
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Action & Adventure,PlatinumGames,Activision,"May 24, 2016","May 27, 2016",Unreleased,"May 24, 2016",,
Teenage Mutant Ninja Turtles: Out of the Shadows,Action & Adventure,Red Fly Studio,Activision,"Aug 28, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Teenage Mutant Ninja Turtles: Training Lair,Kinect,Float Hybrid Entertainment,Microsoft Studios,"Jul 23, 2014",Unreleased,Unreleased,Unreleased,K   XBLA,
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,Classics,Ubisoft Singapore,Ubisoft,"Aug 5, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Tekken 6,"Fighting, Beat 'em Up",Namco Bandai Games,Namco Bandai Games,"Oct 27, 2009","Oct 30, 2009","Oct 29, 2009","Nov 22, 2013",,XBO
Tekken Tag Tournament 2,"Fighting, Beat 'em Up",Namco Bandai Games,Namco Bandai Games,"Sep 11, 2012","Oct 30, 2012","Oct 29, 2012","Nov 22, 2013",3D,XBO
Tempest,Classics,Stainless Games/Atari,Atari,"Dec 19, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Tenchu Z,Stealth,K2 Interactive,Microsoft Game Studios,"Jun 12, 2007","Jun 29, 2007","Oct 5, 2006","Nov 22, 2013",,
Tengai Makyou Ziria: Haruka naru Jipang,RPG,Hudson Soft,Hudson Soft,Unreleased,Unreleased,"Mar 23, 2006","Nov 22, 2013",,
Terminator Salvation,Third-person Shooter,GRIN Studios,"Equity, Evolved Games","May 19, 2009","May 29, 2009",Unreleased,"Nov 22, 2013",,
Terraria - Xbox 360 Edition,Action & Adventure,Re-Logic,505 Games,"Mar 27, 2013",Unreleased,Unreleased,Unreleased,XBLA,
The Testament of Sherlock Holmes,Action-RPG,Frogwares,Focus Home Interactive,"Sep 25, 2013","Sep 20, 2013",Unreleased,"Nov 22, 2013",,
Test Drive Unlimited,Racing,Eden Games,Atari,"Sep 5, 2006","Sep 8, 2006","Apr 26, 2007","Sep 21, 2006",,
Test Drive Unlimited 2,"Racing, Open World",Eden Games,Atari,"Feb 8, 2011","Feb 11, 2011","Jun 30, 2011","Nov 22, 2013",,
Test Drive: Ferrari Racing Legends,Racing,"Evolved Games, Slightly Mad Studios",Atari,"Jul 3, 2012","Aug 15, 2012",Unreleased,"Nov 22, 2013",,
Tetris: The Grand Master Ace,Puzzle,Arika,AQ Interactive,Unreleased,Unreleased,"Dec 10, 2005",Unreleased,,
Tetris Evolution,Puzzle,Mass Media,THQ,"Mar 19, 2007","Apr 27, 2007",Unreleased,"Nov 22, 2013",,
Tetris Splash,Puzzle & Trivia,Tetris Online,Microsoft Game Studios,"Oct 3, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Texas Cheat 'em,Card & Board,Wideload Games,D3 Publisher,"May 13, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Texas Hold 'em,Card & Board,TikGames,Microsoft Game Studios,"Aug 23, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO
Thief,"action-adventure, stealth",Eidos Montréal,Square Enix,"Feb 25, 2014","Feb 28, 2014","Feb 27, 2014","Nov 22, 2013",,
Things on Wheels,Racing & Flying,Load,Focus Home Interactive,"May 12, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Thor: God of Thunder,Action,Liquid Entertainment,Sega,"May 3, 2011","Apr 30, 2011",Unreleased,"Nov 22, 2013",,
Thrillville: Off the Rails,"RTS, Sim, Party",Frontier Developments,LucasArts,"Oct 16, 2007","Oct 19, 2007",Unreleased,"Nov 22, 2013",,
Thunder Wolves,Shooter,Most Wanted Entertainment,bitComposer Interactive,"Jun 12, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Ticket to Ride,Card & Board,Next Level Games,Microsoft Game Studios,"Jun 25, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Tiger Woods PGA Tour 06,Sports,EA Tiburon,EA Sports,"Nov 22, 2005","Dec 2, 2005","Feb 23, 2006","Mar 23, 2006",,
Tiger Woods PGA Tour 07,Sports,EA Tiburon,EA Sports,"Oct 17, 2006","Oct 27, 2006",Unreleased,"Nov 22, 2013",,
Tiger Woods PGA Tour 08,Sports,EA Tiburon,EA Sports,"Aug 28, 2007","Aug 31, 2007",Unreleased,"Nov 22, 2013",,
Tiger Woods PGA Tour 09,Sports,EA Tiburon,EA Sports,"Aug 26, 2008","Aug 29, 2008","Sep 25, 2008","Nov 22, 2013",,
Tiger Woods PGA Tour 10,Sports,EA Tiburon,EA Sports,"Jun 8, 2009","Jul 3, 2009",Unreleased,"Nov 22, 2013",,
Tiger Woods PGA Tour 11,Sports,EA Tiburon,EA Sports,"Jun 8, 2010","Jul 2, 2010",Unreleased,"Nov 22, 2013",,
Tiger Woods PGA Tour 12: The Masters,Sports,EA Tiburon,EA Sports,"Mar 29, 2011","Apr 1, 2011",Unreleased,"Nov 22, 2013",,
Tiger Woods PGA Tour 13,Sports,EA Tiburon,EA Sports,"Mar 27, 2012","Mar 30, 2012",Unreleased,"Nov 22, 2013",K,
Tiger Woods PGA Tour 14,Sports,EA Tiburon,EA Sports,"Mar 26, 2013","Mar 28, 2013",Unreleased,"Nov 22, 2013",K,
Time Leap,"Visual novel, Adult",Front Wing,Prototype,Unreleased,"Jun 25, 2009","Jun 25, 2009","Nov 22, 2013",,
Time Pilot,Classics,Konami/Digital Eclipse,Konami,"Aug 30, 2006",Unreleased,Unreleased,Unreleased,XBLA,
TimeShift,First-person Shooter,Saber Interactive,Vivendi Games,"Oct 30, 2007","Nov 2, 2007",Unreleased,"Nov 1, 2007",,XBO
TiQal,Puzzle & Trivia,Slapdash Games,Microsoft Game Studios,"Mar 26, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Titanfall,"First-person shooter, Mecha",Respawn Entertainment,Electronic Arts,"Mar 25, 2014","Apr 8, 2014","Mar 28, 2014","Nov 22, 2013",,
TMNT,Action-adventure,Ubisoft Quebec,Ubisoft,"Mar 20, 2007","Mar 23, 2007",Unreleased,"Nov 22, 2013",,
TNA iMPACT!,"Fighting, Sports",Midway Studios – Los Angeles,Midway Games,"Sep 9, 2008","Sep 12, 2008",Unreleased,"Nov 22, 2013",,
TNT Racers,Racing & Flying,Keen Games,dtp entertainment,"Feb 9, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Tom Clancy's EndWar,RTT,Ubisoft Shanghai,Ubisoft,"Nov 4, 2008","Nov 7, 2008","Jan 29, 2009","Nov 22, 2013",,XBO
Tom Clancy's Ghost Recon Advanced Warfighter,Tactical Shooter,Red Storm Entertainment,Ubisoft,"Mar 9, 2006","Mar 10, 2006","Jun 29, 2006","Nov 22, 2013",,XBO
Tom Clancy's Ghost Recon Advanced Warfighter 2,Tactical Shooter,Red Storm Entertainment,Ubisoft,"Mar 6, 2007","Mar 9, 2007","Jul 12, 2007","Nov 22, 2013",,XBO
Tom Clancy's Ghost Recon: Future Soldier,Tactical Shooter,Red Storm Entertainment,Ubisoft,"May 22, 2012","May 24, 2012","Jul 4, 2012","Nov 22, 2013",3D   K,XBO
Tom Clancy's H.A.W.X,Combat Flight Simulator,Ubisoft Bucharest,Ubisoft,"Mar 5, 2009","Mar 6, 2009","Apr 23, 2009","Nov 22, 2013",,XBO
Tom Clancy's H.A.W.X 2,Combat Flight Simulator,Ubisoft Bucharest,Ubisoft,"Sep 7, 2010","Sep 3, 2010","Oct 7, 2010","Nov 22, 2013",,
Tom Clancy's Rainbow Six: Vegas,"First-person Shooter, Tactical Shooter",Ubisoft Montreal,Ubisoft,"Nov 20, 2006","Dec 1, 2006","Apr 26, 2007","Nov 22, 2013",,XBO
Tom Clancy's Rainbow Six: Vegas 2,"First-person Shooter, Tactical Shooter",Ubisoft Montreal,Ubisoft,"Mar 18, 2008","Mar 20, 2008","Apr 24, 2008","Nov 22, 2013",,XBO
Tom Clancy's Splinter Cell: Blacklist,"Action-adventure, Stealth",Ubisoft Toronto,Ubisoft,"Aug 20, 2013","Aug 20, 2013","Aug 23, 2013","Nov 22, 2013",K,XBO   XE
Tom Clancy's Splinter Cell: Conviction,"Action-adventure, Stealth",Ubisoft Montreal,Ubisoft,"Apr 13, 2010","Apr 16, 2010","Apr 28, 2010","Nov 22, 2013",,XBO   XE
Tom Clancy's Splinter Cell: Double Agent,"Action-adventure, Stealth",Ubisoft Shanghai,Ubisoft,"Oct 17, 2006","Oct 20, 2006","Feb 22, 2007","Nov 22, 2013",,XBO   XE
Tomb Raider,"Action-adventure, Platform",Crystal Dynamics,Square Enix,"Mar 5, 2013","Mar 5, 2013","Mar 5, 2013","Nov 22, 2013",,
Tomb Raider: Anniversary,"Action-adventure, Platform",Crystal Dynamics,Eidos Interactive,"Oct 23, 2007","Oct 26, 2007","Mar 27, 2008","Nov 22, 2013",,XBO
Tomb Raider: Legend,"Action-adventure, Platform",Crystal Dynamics,Eidos Interactive,"Apr 11, 2006","Apr 7, 2006","Oct 5, 2006","Nov 22, 2013",,XBO
Tomb Raider: Underworld,"Action-adventure, Platform",Crystal Dynamics,Eidos Interactive,"Nov 18, 2008","Nov 21, 2008","Jan 29, 2009","Nov 22, 2013",,XBO
Tomoyo After: It's a Wonderful Life CS Edition,"Visual novel, Adult",Key,Prototype,Unreleased,Unreleased,"Oct 22, 2010","Nov 22, 2013",,
Tony Hawk: Ride,Sports,Robomodo,Activision,"Nov 17, 2009","Nov 20, 2009",Unreleased,"Nov 22, 2013",,
Tony Hawk: Shred,Sports,Robomodo,Activision,"Oct 26, 2010","Oct 29, 2010",Unreleased,"Nov 22, 2013",,
Tony Hawk's American Wasteland,Sports,Neversoft,Activision,"Nov 22, 2005","Dec 2, 2005",Unreleased,"Mar 23, 2006",,
Tony Hawk's Pro Skater 5,Sports,Robomodo,Activision,"Dec 15, 2015","Dec 15, 2015",Unreleased,"Nov 22, 2013",,
Tony Hawk's Pro Skater HD,Sports & Recreation,Robomodo,Activision,"Jul 18, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Tony Hawk's Project 8,Sports,Neversoft,"Activision, Spike JP","Nov 7, 2006","Nov 17, 2006","Nov 29, 2006","Nov 22, 2013",,
Tony Hawk's Proving Ground,Sports,Neversoft,Activision,"Oct 15, 2007","Nov 2, 2007",Unreleased,"Nov 22, 2013",,
Too Human,Action RPG,Silicon Knights,Microsoft Game Studios,"Aug 19, 2008","Aug 29, 2008","Aug 28, 2008","Nov 22, 2013",,XBO
Top Gun: Hard Lock,"Sports, Combat flight simulator",Headstrong Games,505 Games,"Mar 6, 2012","Mar 6, 2012",Unreleased,"Nov 22, 2013",,
Top Hand Rodeo Tour,,D3 Publisher,D3 Publisher,"Aug 20, 2012","Aug 23, 2012","Aug 22, 2012",Unreleased,K,
Top Spin 2,Sports,Indie Built,2K Sports,"Mar 29, 2006","Apr 7, 2006","Aug 13, 2006","Nov 22, 2013",,
Top Spin 3,Sports,PAM Development,2K Sports,"Jun 23, 2008","Jun 20, 2008","Jul 30, 2009","Nov 22, 2013",,
Top Spin 4,Sports,2K Czech,2K Sports,"Mar 15, 2011","Mar 18, 2011","Mar 30, 2011","Nov 22, 2013",,
Torchlight,Role Playing,Runic Games,Microsoft Studios,"Mar 9, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Tornado Outbreak,Action,Loose Cannon Studios,Konami,"Sep 15, 2009","Sep 15, 2009",Unreleased,"Nov 22, 2013",,
TotemBall,Action & Adventure,Strange Flavour/Freeverse,Microsoft Game Studios,"Oct 4, 2006",Unreleased,Unreleased,Unreleased,XBLA,
Tour de France 2011,"Sports, Racing",Cyanide,Focus Home Interactive,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Le Tour De France 2009: The Official Game,Sports & Recreation,Cyanide,Focus Home Interactive,"Jul 15, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Tour de France 2012,"Sports, Racing",Cyanide,Focus Home Interactive,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Tour de France 2013: 100 Edition,Sports,Cyanide,Focus Home Interactive,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Tour de France 2014,"Sports, Racing",Cyanide,Focus Home Interactive,Unreleased,"Jun 20, 2014",Unreleased,Unreleased,,
Tower Bloxx Deluxe,Puzzle & Trivia,Digital Chocolate,Microsoft Game Studios,"Oct 21, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Toy Soldiers,Action & Adventure,Signal Studios,Microsoft Game Studios,"Mar 3, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Toy Soldiers: Cold War,Action & Adventure,Signal Studios,Microsoft Studios,"Aug 17, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Toy Story 3: The Video Game,Platform,Avalanche Software,Disney Interactive Studios,"Jun 15, 2010","Jul 16, 2010","Jul 8, 2010","Nov 22, 2013",,XBO
Toy Story Mania!,Party game,"Papaya Studio, High Voltage Software",Disney Interactive Studios,"Oct 30, 2012","Oct 30, 2012",Unreleased,"Nov 22, 2013",K,
Toybox Turbos,Racing & Flying,Codemasters,Codemasters,"Nov 14, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO
Track & Field,Classics,Konami/Digital Eclipse,Konami,"Aug 8, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Transformers: Dark of the Moon,Action-adventure,High Moon Studios,Activision,"Jun 14, 2011","Jun 24, 2011",Unreleased,"Jun 29, 2011",,
Transformers: Devastation,"Action, Beat 'em up",PlatinumGames,Activision,"Oct 6, 2015","Oct 9, 2015","Oct 6, 2015","Nov 22, 2013",,
Transformers: Fall of Cybertron,Third-person Shooter,High Moon Studios,Activision,"Aug 21, 2012","Aug 24, 2012","Aug 21, 2012","Nov 22, 2013",,
Transformers: Revenge of the Fallen,Third-person Shooter,Luxoflux,Activision,"Jun 23, 2009","Jun 26, 2009",Unreleased,"Nov 22, 2013",,
Transformers: Rise of the Dark Spark,Third-person Shooter,Edge of Reality,Activision,"Jun 20, 2014","Jun 20, 2014","Jun 20, 2014","Nov 22, 2013",,
Transformers: The Game,Third-person Shooter,Traveller's Tales,Activision,"Jun 26, 2007","Jul 20, 2007",Unreleased,"Nov 22, 2013",,
Transformers: War for Cybertron,Third-person Shooter,High Moon Studios,Activision,"Jun 22, 2010","Jun 25, 2010",Unreleased,"Nov 22, 2013",,
Trials Evolution,Racing & Flying,RedLynx,Microsoft Studios,"Apr 18, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Trials Fusion,Racing & Flying,RedLynx,Ubisoft,"Apr 16, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Trials HD,Racing & Flying,RedLynx,Microsoft Game Studios,"Aug 12, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Triggerheart Exelica,Shooter,Warashi,Microsoft Game Studios,"Feb 27, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Trine 2,Platformer,Frozenbyte,Atlus USA,"Dec 21, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Trivial Pursuit,Board Game,Electronic Arts,Electronic Arts,"Mar 10, 2009","Mar 13, 2009",Unreleased,"Nov 22, 2013",,
Trivial Pursuit Live!,Card & Board,Ubisoft Halifax,Ubisoft,"Feb 17, 2015",Unreleased,Unreleased,Unreleased,XBLA,
Tron,Classics,Bally Midway/Digital Eclipse,Disney Interactive Studios,"Jan 9, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Tron: Evolution,Action-adventure,Propaganda Games,Disney Interactive Studios,"Nov 1, 2010","Nov 1, 2010",Unreleased,"Nov 22, 2013",,XBO
